zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
6.511080120e+04   6.791043951e+03   1.178891225e+04   2.630426031e-04   1.609452519e-01   1.571321249e+00   3.595304191e-01   2.696071221e-04
6.617406251e+04   6.821239010e+03   1.186562812e+04   2.635676710e-04   1.682719150e-01   1.567924976e+00   3.579997122e-01   2.701461494e-04
6.723612268e+04   6.852144114e+03   1.194240866e+04   2.640610589e-04   1.760867299e-01   1.564376116e+00   3.563914895e-01   2.706527070e-04
6.830222195e+04   6.883895693e+03   1.201961766e+04   2.645257367e-04   1.844613062e-01   1.560646534e+00   3.546918631e-01   2.711297507e-04
6.937741234e+04   6.916627275e+03   1.209762104e+04   2.649645105e-04   1.934756500e-01   1.556708217e+00   3.528858721e-01   2.715803068e-04
7.046643533e+04   6.950462976e+03   1.217675418e+04   2.653798506e-04   2.032171615e-01   1.552531958e+00   3.509583175e-01   2.720069967e-04
7.157359230e+04   6.985510145e+03   1.225733115e+04   2.657743868e-04   2.137790354e-01   1.548087835e+00   3.488930464e-01   2.724125379e-04
7.270255421e+04   7.021849767e+03   1.233961058e+04   2.661505504e-04   2.252564993e-01   1.543362021e+00   3.466811180e-01   2.727993727e-04
7.385643291e+04   7.059535888e+03   1.242382410e+04   2.665115217e-04   2.377437114e-01   1.538384438e+00   3.443349898e-01   2.731703321e-04
7.503703959e+04   7.098568433e+03   1.251010389e+04   2.668599047e-04   2.513201779e-01   1.533144474e+00   3.418461680e-01   2.735281127e-04
7.624432619e+04   7.138872370e+03   1.259844709e+04   2.671980568e-04   2.660809905e-01   1.527636051e+00   3.392081857e-01   2.738753398e-04
7.747720305e+04   7.180324423e+03   1.268877412e+04   2.675285683e-04   2.820931064e-01   1.521858931e+00   3.364172280e-01   2.742148190e-04
7.873414346e+04   7.222774589e+03   1.278097983e+04   2.678544483e-04   2.994061524e-01   1.515820622e+00   3.334726691e-01   2.745498135e-04
8.001302107e+04   7.266044315e+03   1.287491074e+04   2.681787761e-04   3.180528836e-01   1.509539604e+00   3.303797841e-01   2.748836258e-04
8.131110622e+04   7.309932745e+03   1.297036505e+04   2.685051826e-04   3.380523434e-01   1.503104925e+00   3.271802366e-01   2.752193566e-04
8.262598454e+04   7.354253201e+03   1.306717508e+04   2.688369000e-04   3.594194437e-01   1.496550322e+00   3.238889277e-01   2.755602598e-04
8.395608910e+04   7.398853234e+03   1.316522855e+04   2.691768354e-04   3.821739700e-01   1.489891768e+00   3.205119967e-01   2.759094266e-04
8.530074287e+04   7.443617325e+03   1.326448000e+04   2.695277245e-04   4.063449987e-01   1.483140945e+00   3.170536458e-01   2.762699120e-04
8.666026184e+04   7.488470435e+03   1.336496780e+04   2.698924555e-04   4.319772507e-01   1.476307154e+00   3.135168552e-01   2.766449373e-04
8.803556296e+04   7.533364975e+03   1.346676157e+04   2.702740760e-04   4.591289625e-01   1.469420671e+00   3.099163473e-01   2.770372690e-04
8.942783967e+04   7.578270978e+03   1.356995654e+04   2.706757549e-04   4.878711443e-01   1.462538004e+00   3.062815666e-01   2.774495026e-04
9.083868074e+04   7.623177856e+03   1.367469338e+04   2.710997823e-04   5.182786615e-01   1.455657959e+00   3.026107848e-01   2.778843529e-04
9.226994036e+04   7.668086680e+03   1.378111563e+04   2.715479888e-04   5.504276902e-01   1.448777676e+00   2.989010513e-01   2.783440717e-04
9.372371319e+04   7.713007881e+03   1.388939523e+04   2.720224776e-04   5.844288021e-01   1.441892624e+00   2.951488197e-01   2.788310607e-04
9.520235558e+04   7.757960712e+03   1.399972547e+04   2.725252633e-04   6.204022543e-01   1.435002089e+00   2.913525701e-01   2.793477487e-04
9.670824155e+04   7.802966688e+03   1.411230244e+04   2.730594300e-04   6.584793411e-01   1.428145409e+00   2.875346541e-01   2.798964598e-04
9.824353923e+04   7.848043425e+03   1.422731088e+04   2.736273146e-04   6.987995901e-01   1.421339273e+00   2.837053537e-01   2.804793645e-04
9.981027044e+04   7.893204444e+03   1.434492987e+04   2.742307191e-04   7.414752743e-01   1.414578199e+00   2.798613906e-01   2.810986045e-04
1.014104222e+05   7.938461188e+03   1.446532707e+04   2.748711970e-04   7.866243750e-01   1.407858372e+00   2.760004699e-01   2.817561070e-04
1.030460798e+05   7.983826581e+03   1.458869434e+04   2.755507544e-04   8.344162796e-01   1.401178479e+00   2.721214592e-01   2.824541443e-04
1.047194569e+05   8.029316020e+03   1.471522353e+04   2.762715361e-04   8.850355314e-01   1.394546986e+00   2.682298422e-01   2.831947917e-04
1.064325911e+05   8.074940844e+03   1.484511643e+04   2.770366250e-04   9.386843247e-01   1.387999296e+00   2.643476129e-01   2.839803827e-04
1.081872234e+05   8.120705117e+03   1.497853361e+04   2.778475523e-04   9.955872865e-01   1.381536484e+00   2.604754567e-01   2.848126575e-04
1.099849888e+05   8.166608992e+03   1.511563568e+04   2.787059075e-04   1.055950481e+00   1.375156164e+00   2.566117346e-01   2.856934432e-04
1.118275689e+05   8.212652612e+03   1.525660736e+04   2.796132261e-04   1.119898239e+00   1.368858814e+00   2.527569234e-01   2.866249619e-04
1.137167725e+05   8.258838046e+03   1.540162771e+04   2.805712619e-04   1.187639238e+00   1.362644434e+00   2.489114851e-01   2.876091873e-04
1.156543663e+05   8.305166651e+03   1.555088858e+04   2.815830054e-04   1.259394328e+00   1.356533051e+00   2.450924516e-01   2.886482913e-04
1.176418529e+05   8.351634842e+03   1.570455908e+04   2.826506943e-04   1.335386236e+00   1.350535035e+00   2.413078249e-01   2.897441373e-04
1.196805433e+05   8.398234659e+03   1.586280121e+04   2.837755176e-04   1.415838833e+00   1.344654322e+00   2.375587523e-01   2.908985363e-04
1.217717216e+05   8.444956979e+03   1.602578266e+04   2.849589507e-04   1.500983846e+00   1.338894367e+00   2.338460535e-01   2.921133796e-04
1.239167597e+05   8.491794100e+03   1.619367254e+04   2.862025681e-04   1.591065671e+00   1.333257198e+00   2.301704288e-01   2.933904759e-04
1.261170769e+05   8.538739508e+03   1.636666269e+04   2.875083972e-04   1.686355909e+00   1.327757478e+00   2.265402526e-01   2.947319469e-04
1.283739151e+05   8.585784659e+03   1.654492223e+04   2.888796259e-04   1.787159377e+00   1.322404861e+00   2.229667902e-01   2.961395221e-04
1.306883062e+05   8.632917982e+03   1.672862169e+04   2.903173381e-04   1.893722326e+00   1.317193747e+00   2.194506377e-01   2.976150243e-04
1.330612064e+05   8.680126551e+03   1.691792306e+04   2.918227538e-04   2.006301375e+00   1.312117934e+00   2.159926146e-01   2.991601318e-04
1.354935954e+05   8.727398117e+03   1.711299831e+04   2.933971619e-04   2.125179313e+00   1.307171226e+00   2.125933021e-01   3.007766336e-04
1.379864899e+05   8.774721535e+03   1.731402790e+04   2.950421818e-04   2.250754242e+00   1.302350640e+00   2.092543542e-01   3.024663660e-04
1.405407898e+05   8.822085299e+03   1.752118521e+04   2.967609070e-04   2.383255869e+00   1.297671795e+00   2.059863955e-01   3.042309880e-04
1.431572062e+05   8.869476462e+03   1.773464788e+04   2.985548343e-04   2.522904631e+00   1.293132782e+00   2.027900070e-01   3.060722507e-04
1.458363485e+05   8.916881178e+03   1.795456939e+04   3.004247470e-04   2.669933364e+00   1.288735509e+00   1.996669769e-01   3.079914884e-04
1.485787995e+05   8.964285992e+03   1.818112736e+04   3.023718697e-04   2.824578887e+00   1.284479141e+00   1.966183931e-01   3.099904128e-04
1.513851404e+05   9.011678350e+03   1.841449233e+04   3.043973475e-04   2.987075110e+00   1.280361295e+00   1.936448663e-01   3.120705487e-04
1.542558812e+05   9.059046279e+03   1.865484052e+04   3.065041159e-04   3.157651178e+00   1.276382208e+00   1.907513738e-01   3.142334690e-04
1.571913932e+05   9.106377751e+03   1.890233960e+04   3.086938851e-04   3.336510412e+00   1.272541761e+00   1.879394948e-01   3.164805791e-04
