r[m]	temperatures[K]	pressures[Pa]	rhos[kg/m^3]	kappas[m^2/kg]	gamma1s[idklol]	nablaads[K/m?]
5.816186258e+08	1.072783335e+06	9.274720192e+11	6.354224122e+01	7.152805051e+00	1.665796041e+00	3.958339989e-01
5.811724879e+08	1.077847456e+06	9.385725975e+11	6.399772720e+01	7.105966353e+00	1.665766239e+00	3.958331347e-01
5.807252038e+08	1.082931845e+06	9.497979164e+11	6.445613253e+01	7.059510633e+00	1.665736437e+00	3.958324492e-01
5.802767750e+08	1.088036555e+06	9.611492157e+11	6.491749389e+01	7.013428944e+00	1.665707707e+00	3.958315849e-01
5.798272031e+08	1.093161640e+06	9.726280212e+11	6.538180378e+01	6.967709456e+00	1.665679932e+00	3.958308399e-01
5.793764894e+08	1.098307155e+06	9.842357635e+11	6.584906983e+01	6.922340822e+00	1.665652752e+00	3.958302438e-01
5.789246355e+08	1.103473153e+06	9.959733009e+11	6.631932332e+01	6.877312362e+00	1.665626764e+00	3.958296180e-01
5.784716427e+08	1.108659690e+06	1.007842159e+12	6.679261494e+01	6.832613450e+00	1.665600777e+00	3.958284855e-01
5.780175127e+08	1.113866817e+06	1.019843864e+12	6.726894707e+01	6.788229166e+00	1.665575027e+00	3.958271444e-01
5.775622468e+08	1.119094587e+06	1.031979561e+12	6.774834027e+01	6.744143387e+00	1.665549755e+00	3.958254158e-01
5.771058466e+08	1.124343054e+06	1.044250584e+12	6.823080162e+01	6.700345011e+00	1.665524840e+00	3.958235383e-01
5.766483139e+08	1.129612269e+06	1.056658649e+12	6.871638403e+01	6.656975404e+00	1.665499449e+00	3.958213329e-01
5.761896502e+08	1.134902286e+06	1.069204903e+12	6.920506662e+01	6.614053901e+00	1.665474892e+00	3.958190382e-01
5.757298574e+08	1.140213159e+06	1.081890583e+12	6.969686086e+01	6.571542183e+00	1.665450692e+00	3.958166242e-01
5.752689371e+08	1.145544941e+06	1.094717789e+12	7.019181732e+01	6.529408883e+00	1.665426493e+00	3.958141506e-01
5.748068912e+08	1.150897689e+06	1.107687569e+12	7.068992453e+01	6.487622796e+00	1.665402412e+00	3.958117664e-01
5.743437217e+08	1.156271457e+06	1.120800972e+12	7.119120916e+01	6.446157092e+00	1.665377855e+00	3.958093226e-01
5.738794303e+08	1.161666301e+06	1.134059715e+12	7.169565703e+01	6.404984269e+00	1.665354490e+00	3.958071172e-01
5.734140190e+08	1.167082275e+06	1.147465611e+12	7.220331987e+01	6.364080741e+00	1.665331244e+00	3.958050609e-01
5.729474898e+08	1.172519437e+06	1.161019707e+12	7.271420533e+01	6.323420350e+00	1.665307760e+00	3.958032131e-01
5.724798449e+08	1.177977843e+06	1.174723721e+12	7.322831438e+01	6.282975408e+00	1.665284514e+00	3.958016038e-01
5.720110862e+08	1.183457550e+06	1.188578987e+12	7.374566784e+01	6.242716878e+00	1.665261865e+00	3.958003521e-01
5.715412159e+08	1.188958616e+06	1.202587509e+12	7.426628729e+01	6.202611990e+00	1.665239334e+00	3.957995176e-01
5.710702361e+08	1.194481099e+06	1.216750240e+12	7.479017557e+01	6.162621397e+00	1.665217757e+00	3.957989812e-01
5.705981491e+08	1.200025056e+06	1.231068897e+12	7.531734192e+01	6.122697632e+00	1.665195942e+00	3.957989514e-01
5.701249569e+08	1.205590547e+06	1.245545197e+12	7.584784401e+01	6.082962802e+00	1.665174603e+00	3.957992494e-01
5.696506617e+08	1.211177630e+06	1.260180473e+12	7.638166833e+01	6.043557542e+00	1.665153503e+00	3.957996666e-01
5.691752656e+08	1.216786362e+06	1.274976635e+12	7.691888690e+01	6.004468356e+00	1.665132761e+00	3.958001733e-01
5.686987708e+08	1.222416801e+06	1.289934921e+12	7.745948082e+01	5.965679988e+00	1.665112495e+00	3.958007097e-01
5.682211795e+08	1.228069002e+06	1.305057335e+12	7.800348646e+01	5.927181432e+00	1.665092587e+00	3.958012164e-01
5.677424940e+08	1.233743024e+06	1.320345402e+12	7.855092729e+01	5.888962388e+00	1.665072680e+00	3.958019018e-01
5.672627164e+08	1.239438922e+06	1.335800457e+12	7.910179522e+01	5.851012180e+00	1.665053844e+00	3.958025575e-01
5.667818490e+08	1.245156755e+06	1.351424694e+12	7.965610562e+01	5.813321975e+00	1.665035486e+00	3.958033621e-01
5.662998938e+08	1.250896579e+06	1.367219067e+12	8.021388802e+01	5.775884168e+00	1.665017366e+00	3.958039880e-01
5.658168533e+08	1.256658452e+06	1.383186436e+12	8.077518739e+01	5.738692299e+00	1.664999962e+00	3.958047330e-01
5.653327296e+08	1.262442430e+06	1.399327660e+12	8.133997592e+01	5.701737290e+00	1.664983392e+00	3.958055079e-01
5.648475251e+08	1.268248572e+06	1.415644455e+12	8.190829617e+01	5.665013387e+00	1.664967060e+00	3.958063126e-01
5.643612420e+08	1.274076934e+06	1.432138348e+12	8.248014855e+01	5.628513423e+00	1.664951324e+00	3.958070278e-01
5.638738826e+08	1.279927573e+06	1.448812389e+12	8.305558437e+01	5.592232569e+00	1.664936304e+00	3.958078325e-01
5.633854493e+08	1.285800547e+06	1.465666962e+12	8.363457736e+01	5.556163132e+00	1.664922357e+00	3.958086669e-01
5.628959443e+08	1.291695915e+06	1.482704544e+12	8.421716222e+01	5.520300090e+00	1.664909124e+00	3.958095312e-01
5.624053700e+08	1.297613733e+06	1.499926567e+12	8.480335444e+01	5.484637876e+00	1.664896250e+00	3.958104551e-01
5.619137288e+08	1.303554060e+06	1.517335129e+12	8.539317378e+01	5.449171284e+00	1.664884210e+00	3.958114982e-01
5.614210231e+08	1.309516955e+06	1.534931850e+12	8.598663848e+01	5.413895219e+00	1.664872766e+00	3.958126307e-01
5.609272553e+08	1.315502475e+06	1.552718830e+12	8.658375210e+01	5.378804215e+00	1.664861679e+00	3.958137035e-01
5.604324278e+08	1.321510678e+06	1.570697784e+12	8.718454866e+01	5.343894111e+00	1.664851665e+00	3.958150446e-01
5.599365432e+08	1.327541625e+06	1.588870907e+12	8.778904074e+01	5.309160081e+00	1.664842129e+00	3.958165646e-01
5.594396039e+08	1.333595373e+06	1.607239723e+12	8.839723754e+01	5.274597341e+00	1.664833307e+00	3.958182335e-01
5.589416125e+08	1.339671983e+06	1.625806427e+12	8.900915935e+01	5.240201642e+00	1.664824724e+00	3.958202302e-01
5.584425715e+08	1.345771515e+06	1.644572449e+12	8.962480725e+01	5.205968188e+00	1.664816856e+00	3.958224058e-01
5.579424835e+08	1.351894031e+06	1.663539886e+12	9.024421410e+01	5.171893446e+00	1.664808989e+00	3.958248794e-01
5.574413511e+08	1.358039589e+06	1.682711220e+12	9.086744759e+01	5.137975175e+00	1.664802313e+00	3.958275914e-01
5.569391772e+08	1.364208252e+06	1.702088356e+12	9.149451210e+01	5.104209020e+00	1.664796829e+00	3.958307207e-01
5.564359644e+08	1.370400082e+06	1.721672440e+12	9.212540954e+01	5.070590689e+00	1.664791346e+00	3.958340585e-01
5.559317157e+08	1.376615142e+06	1.741466904e+12	9.276020381e+01	5.037118075e+00	1.664787054e+00	3.958378434e-01
5.554264337e+08	1.382853493e+06	1.761472511e+12	9.339888541e+01	5.003786722e+00	1.664783597e+00	3.958416283e-01
5.549201213e+08	1.389115197e+06	1.781691933e+12	9.404147868e+01	4.970593423e+00	1.664780498e+00	3.958456814e-01
5.544127812e+08	1.395400316e+06	1.802127075e+12	9.468800431e+01	4.937534952e+00	1.664777517e+00	3.958499432e-01
5.539044162e+08	1.401708912e+06	1.822780037e+12	9.533846996e+01	4.904607780e+00	1.664774895e+00	3.958544135e-01
5.533950290e+08	1.408041047e+06	1.843652916e+12	9.599290778e+01	4.871809251e+00	1.664772391e+00	3.958589733e-01
5.528846224e+08	1.414396784e+06	1.864748001e+12	9.665131035e+01	4.839135572e+00	1.664770126e+00	3.958637714e-01
5.523731992e+08	1.420776183e+06	1.886066818e+12	9.731373560e+01	4.806585099e+00	1.664767742e+00	3.958685696e-01
5.518607621e+08	1.427179305e+06	1.907613373e+12	9.798018357e+01	4.774154477e+00	1.664765596e+00	3.958736360e-01
5.513473140e+08	1.433606214e+06	1.929387665e+12	9.865067407e+01	4.741841054e+00	1.664763212e+00	3.958785832e-01
5.508328575e+08	1.440056971e+06	1.951392746e+12	9.932519839e+01	4.709641440e+00	1.664761066e+00	3.958836496e-01
5.503173953e+08	1.446531636e+06	1.973630714e+12	1.000038019e+02	4.677553953e+00	1.664758444e+00	3.958887160e-01
5.498009302e+08	1.453030271e+06	1.996104431e+12	1.006865038e+02	4.645576214e+00	1.664755940e+00	3.958938718e-01
5.492834649e+08	1.459552938e+06	2.018815231e+12	1.013732810e+02	4.613704745e+00	1.664752364e+00	3.958989978e-01
5.487650020e+08	1.466099696e+06	2.041766548e+12	1.020641919e+02	4.581938497e+00	1.664748788e+00	3.959040046e-01
5.482455443e+08	1.472670608e+06	2.064959335e+12	1.027592021e+02	4.550273928e+00	1.664744854e+00	3.959090412e-01
5.477250941e+08	1.479265734e+06	2.088396645e+12	1.034583546e+02	4.518709794e+00	1.664740682e+00	3.959139287e-01
5.472036541e+08	1.485885135e+06	2.112081337e+12	1.041616782e+02	4.487244713e+00	1.664735794e+00	3.959188163e-01
5.466812269e+08	1.492528871e+06	2.136015129e+12	1.048691757e+02	4.455875831e+00	1.664730072e+00	3.959234357e-01
5.461578151e+08	1.499197004e+06	2.160200119e+12	1.055808807e+02	4.424590812e+00	1.664723396e+00	3.959280849e-01
5.456334213e+08	1.505889594e+06	2.184639359e+12	1.062968186e+02	4.393406661e+00	1.664716959e+00	3.959324658e-01
5.451080481e+08	1.512606702e+06	2.209335136e+12	1.070170091e+02	4.362367356e+00	1.664710402e+00	3.959368467e-01
5.445816985e+08	1.519348392e+06	2.234289932e+12	1.077415394e+02	4.331461965e+00	1.664703369e+00	3.959412575e-01
5.440543752e+08	1.526114728e+06	2.259505844e+12	1.084703694e+02	4.300685734e+00	1.664696932e+00	3.959456086e-01
5.435260811e+08	1.532905773e+06	2.284985924e+12	1.092035618e+02	4.270038328e+00	1.664689779e+00	3.959500790e-01
5.429968191e+08	1.539721590e+06	2.310731888e+12	1.099411125e+02	4.239518050e+00	1.664682865e+00	3.959544599e-01
5.424665922e+08	1.546562241e+06	2.336747551e+12	1.106830942e+02	4.209125176e+00	1.664676428e+00	3.959587514e-01
5.419354033e+08	1.553427792e+06	2.363034058e+12	1.114294287e+02	4.178856406e+00	1.664669752e+00	3.959631324e-01
5.414032550e+08	1.560318309e+06	2.389595222e+12	1.121802374e+02	4.148713246e+00	1.664663315e+00	3.959676027e-01
5.408701504e+08	1.567233854e+06	2.416432190e+12	1.129354673e+02	4.118693137e+00	1.664656401e+00	3.959719539e-01
5.403360923e+08	1.574174493e+06	2.443549347e+12	1.136951835e+02	4.088796317e+00	1.664650202e+00	3.959763348e-01
5.398010836e+08	1.581140290e+06	2.470947647e+12	1.144593852e+02	4.059021521e+00	1.664644241e+00	3.959806859e-01
5.392651274e+08	1.588131311e+06	2.498630905e+12	1.152281172e+02	4.029368564e+00	1.664638162e+00	3.959850967e-01
5.387282265e+08	1.595147619e+06	2.526601982e+12	1.160013765e+02	3.999836226e+00	1.664632082e+00	3.959895670e-01
5.381903839e+08	1.602189281e+06	2.554862976e+12	1.167792116e+02	3.970424437e+00	1.664626598e+00	3.959940076e-01
5.376516024e+08	1.609256364e+06	2.583416557e+12	1.175615997e+02	3.941131625e+00	1.664621592e+00	3.959985077e-01
5.371118851e+08	1.616348933e+06	2.612266159e+12	1.183485929e+02	3.911957867e+00	1.664616108e+00	3.960030079e-01
5.365712349e+08	1.623467054e+06	2.641413879e+12	1.191402315e+02	3.882902995e+00	1.664611101e+00	3.960075080e-01
5.360296546e+08	1.630610794e+06	2.670862389e+12	1.199364896e+02	3.853965497e+00	1.664606452e+00	3.960119784e-01
5.354871475e+08	1.637780220e+06	2.700615692e+12	1.207374412e+02	3.825145960e+00	1.664601803e+00	3.960165679e-01
5.349437162e+08	1.644975396e+06	2.730675316e+12	1.215430396e+02	3.796442550e+00	1.664597511e+00	3.960211277e-01
5.343993639e+08	1.652196392e+06	2.761044693e+12	1.223533571e+02	3.767855854e+00	1.664593220e+00	3.960256875e-01
5.338540933e+08	1.659443274e+06	2.791727066e+12	1.231683923e+02	3.739385018e+00	1.664589405e+00	3.960303962e-01
5.333079076e+08	1.666716109e+06	2.822724724e+12	1.239881788e+02	3.711029910e+00	1.664585590e+00	3.960349858e-01
5.327608097e+08	1.674014965e+06	2.854041672e+12	1.248127726e+02	3.682790834e+00	1.664582014e+00	3.960396349e-01
5.322128026e+08	1.681339910e+06	2.885679626e+12	1.256421088e+02	3.654665858e+00	1.664578676e+00	3.960442543e-01
5.316638892e+08	1.688691010e+06	2.917642403e+12	1.264762799e+02	3.626656030e+00	1.664575338e+00	3.960489333e-01
5.311140725e+08	1.696068335e+06	2.949933624e+12	1.273152910e+02	3.598760783e+00	1.664572239e+00	3.960537016e-01
5.305633554e+08	1.703471953e+06	2.982554626e+12	1.281591431e+02	3.570979524e+00	1.664569139e+00	3.960583508e-01
5.300117409e+08	1.710901933e+06	3.015509796e+12	1.290078690e+02	3.543312276e+00	1.664566040e+00	3.960630894e-01
5.294592321e+08	1.718358342e+06	3.048801613e+12	1.298614948e+02	3.515758957e+00	1.664562821e+00	3.960677385e-01
5.289058317e+08	1.725841250e+06	3.082433319e+12	1.307200221e+02	3.488319098e+00	1.664559722e+00	3.960725069e-01
5.283515428e+08	1.733350726e+06	3.116408730e+12	1.315835041e+02	3.460993137e+00	1.664556265e+00	3.960772157e-01
5.277963683e+08	1.740886840e+06	3.150730705e+12	1.324519243e+02	3.433780371e+00	1.664553404e+00	3.960819542e-01
5.272403111e+08	1.748449660e+06	3.185402489e+12	1.333253359e+02	3.406681293e+00	1.664549589e+00	3.960866332e-01
5.266833742e+08	1.756039256e+06	3.220426559e+12	1.342037727e+02	3.379696088e+00	1.664545536e+00	3.960912824e-01
5.261255605e+08	1.763655699e+06	3.255807877e+12	1.350872781e+02	3.352825112e+00	1.664542198e+00	3.960958421e-01
5.255668731e+08	1.771299059e+06	3.291548157e+12	1.359759072e+02	3.326068910e+00	1.664538145e+00	3.961003423e-01
5.250073151e+08	1.778969406e+06	3.327651978e+12	1.368696841e+02	3.299427574e+00	1.664534092e+00	3.961046636e-01
5.244468896e+08	1.786666810e+06	3.364121246e+12	1.377686033e+02	3.272900779e+00	1.664529800e+00	3.961089551e-01
5.238855996e+08	1.794391344e+06	3.400960922e+12	1.386726953e+02	3.246488793e+00	1.664525867e+00	3.961131573e-01
5.233234481e+08	1.802143077e+06	3.438173294e+12	1.395820038e+02	3.220192111e+00	1.664521575e+00	3.961172700e-01
5.227604382e+08	1.809922084e+06	3.475762558e+12	1.404965476e+02	3.194010888e+00	1.664517522e+00	3.961213529e-01
5.221965731e+08	1.817728437e+06	3.513732910e+12	1.414163841e+02	3.167945873e+00	1.664513350e+00	3.961253464e-01
5.216318558e+08	1.825562206e+06	3.552085876e+12	1.423414918e+02	3.141996749e+00	1.664509177e+00	3.961292803e-01
5.210662896e+08	1.833423464e+06	3.590825653e+12	1.432718931e+02	3.116163881e+00	1.664505005e+00	3.961331248e-01
5.204998774e+08	1.841312286e+06	3.629957199e+12	1.442076765e+02	3.090448573e+00	1.664500952e+00	3.961369097e-01
5.199326223e+08	1.849228745e+06	3.669482422e+12	1.451487849e+02	3.064850205e+00	1.664497137e+00	3.961405456e-01
5.193645277e+08	1.857172912e+06	3.709407043e+12	1.460953393e+02	3.039370627e+00	1.664492965e+00	3.961443305e-01
5.187955964e+08	1.865144862e+06	3.749732208e+12	1.470472445e+02	3.014008890e+00	1.664489269e+00	3.961479068e-01
5.182258317e+08	1.873144672e+06	3.790462875e+12	1.480046486e+02	2.988767286e+00	1.664485693e+00	3.961515129e-01
5.176552366e+08	1.881172416e+06	3.831603622e+12	1.489674977e+02	2.963645588e+00	1.664482236e+00	3.961550891e-01
5.170838142e+08	1.889228171e+06	3.873157501e+12	1.499358523e+02	2.938645139e+00	1.664478779e+00	3.961587250e-01
5.165115679e+08	1.897312010e+06	3.915127182e+12	1.509097041e+02	2.913766532e+00	1.664475679e+00	3.961622119e-01
5.159385006e+08	1.905424009e+06	3.957517624e+12	1.518891210e+02	2.889011418e+00	1.664472342e+00	3.961657584e-01
5.153646157e+08	1.913564244e+06	4.000334549e+12	1.528741485e+02	2.864381283e+00	1.664469957e+00	3.961692750e-01
5.147899161e+08	1.921732795e+06	4.043578339e+12	1.538647214e+02	2.839876490e+00	1.664466858e+00	3.961727917e-01
5.142144050e+08	1.929929737e+06	4.087254333e+12	1.548609274e+02	2.815499399e+00	1.664464474e+00	3.961763978e-01
5.136380856e+08	1.938155148e+06	4.131366730e+12	1.558628138e+02	2.791252096e+00	1.664462566e+00	3.961798847e-01
5.130609610e+08	1.946409105e+06	4.175920486e+12	1.568703554e+02	2.767136109e+00	1.664460421e+00	3.961834908e-01
5.124830345e+08	1.954691688e+06	4.220918655e+12	1.578836454e+02	2.743154588e+00	1.664458752e+00	3.961870968e-01
5.119043092e+08	1.963002975e+06	4.266366196e+12	1.589026110e+02	2.719309241e+00	1.664457679e+00	3.961908817e-01
5.113247883e+08	1.971343045e+06	4.312264633e+12	1.599273248e+02	2.695603798e+00	1.664456129e+00	3.961945772e-01
5.107444748e+08	1.979711979e+06	4.358621216e+12	1.609578755e+02	2.672042660e+00	1.664455175e+00	3.961983919e-01
5.101633720e+08	1.988109857e+06	4.405437851e+12	1.619941703e+02	2.648628987e+00	1.664454460e+00	3.962022364e-01
5.095814830e+08	1.996536759e+06	4.452719879e+12	1.630362850e+02	2.625368497e+00	1.664454222e+00	3.962062597e-01
5.089988110e+08	2.004992766e+06	4.500472260e+12	1.640843253e+02	2.602253210e+00	1.664454460e+00	3.962102830e-01
5.084153593e+08	2.013477960e+06	4.548697662e+12	1.651382867e+02	2.579231183e+00	1.664454699e+00	3.962143362e-01
5.078311311e+08	2.021992422e+06	4.597401428e+12	1.661982227e+02	2.556311851e+00	1.664455414e+00	3.962183297e-01
5.072461295e+08	2.030536235e+06	4.646587372e+12	1.672641382e+02	2.533508124e+00	1.664456725e+00	3.962225020e-01
5.066603578e+08	2.039109482e+06	4.696261215e+12	1.683361009e+02	2.510830678e+00	1.664458513e+00	3.962265849e-01
5.060738193e+08	2.047712248e+06	4.746426392e+12	1.694141460e+02	2.488287670e+00	1.664459586e+00	3.962305784e-01
5.054865171e+08	2.056344615e+06	4.797085953e+12	1.704982678e+02	2.465885166e+00	1.664461613e+00	3.962346315e-01
5.048984545e+08	2.065006665e+06	4.848247528e+12	1.715885007e+02	2.443628227e+00	1.664463520e+00	3.962386549e-01
5.043096347e+08	2.073698483e+06	4.899913788e+12	1.726849269e+02	2.421521219e+00	1.664465547e+00	3.962425292e-01
5.037200610e+08	2.082420152e+06	4.952089310e+12	1.737874955e+02	2.399566469e+00	1.664467812e+00	3.962464035e-01
5.031297363e+08	2.091171754e+06	5.004780197e+12	1.748962780e+02	2.377766647e+00	1.664469957e+00	3.962502480e-01
5.025386642e+08	2.099953377e+06	5.057989120e+12	1.760112944e+02	2.356123389e+00	1.664472580e+00	3.962540627e-01
5.019468477e+08	2.108765102e+06	5.111722183e+12	1.771326083e+02	2.334638208e+00	1.664474487e+00	3.962577879e-01
5.013542901e+08	2.117607016e+06	5.165983200e+12	1.782601616e+02	2.313311243e+00	1.664477110e+00	3.962615132e-01
5.007609947e+08	2.126479203e+06	5.220778656e+12	1.793940762e+02	2.292143763e+00	1.664479494e+00	3.962651491e-01
5.001669645e+08	2.135381746e+06	5.276111221e+12	1.805342759e+02	2.271135202e+00	1.664481640e+00	3.962688744e-01
4.995722028e+08	2.144314734e+06	5.331987381e+12	1.816808534e+02	2.250286097e+00	1.664483547e+00	3.962724507e-01
4.989767127e+08	2.153278253e+06	5.388412476e+12	1.828338478e+02	2.229596381e+00	1.664485812e+00	3.962760568e-01
4.983804973e+08	2.162272391e+06	5.445388412e+12	1.839931785e+02	2.209064974e+00	1.664488077e+00	3.962797821e-01
4.977835597e+08	2.171297234e+06	5.502923965e+12	1.851589902e+02	2.188692343e+00	1.664489985e+00	3.962833285e-01
4.971859030e+08	2.180352869e+06	5.561022568e+12	1.863312738e+02	2.168477739e+00	1.664491653e+00	3.962869346e-01
4.965875303e+08	2.189439385e+06	5.619688416e+12	1.875099970e+02	2.148420206e+00	1.664493322e+00	3.962906003e-01
4.959884414e+08	2.198556922e+06	5.678928375e+12	1.886953068e+02	2.128519834e+00	1.664494991e+00	3.962941468e-01
4.953886388e+08	2.207705577e+06	5.738748169e+12	1.898872008e+02	2.108775785e+00	1.664496541e+00	3.962977529e-01
4.947885377e+08	2.216837835e+06	5.799116516e+12	1.911217129e+02	2.091232622e+00	1.664497375e+00	3.963008821e-01
4.941898564e+08	2.225871163e+06	5.859874725e+12	1.924025044e+02	2.076382877e+00	1.664498210e+00	3.963035643e-01
4.935927611e+08	2.234791122e+06	5.921016312e+12	1.936972337e+02	2.062208222e+00	1.664498806e+00	3.963062167e-01
4.929937788e+08	2.243653223e+06	5.982903290e+12	1.950113354e+02	2.047991279e+00	1.664500237e+00	3.963088393e-01
4.923906637e+08	2.252491952e+06	6.045784760e+12	1.963500347e+02	2.033856708e+00	1.664501190e+00	3.963117003e-01
4.917836124e+08	2.261306235e+06	6.109658051e+12	1.977137494e+02	2.020097276e+00	1.664502859e+00	3.963145316e-01
4.911727650e+08	2.270096193e+06	6.174527740e+12	1.991008739e+02	2.006576372e+00	1.664505720e+00	3.963176310e-01
4.905583078e+08	2.278860897e+06	6.240391922e+12	2.005104564e+02	1.993262534e+00	1.664508104e+00	3.963208497e-01
4.899404603e+08	2.287599078e+06	6.307246017e+12	2.019433908e+02	1.980218766e+00	1.664511681e+00	3.963242173e-01
4.893193354e+08	2.296311070e+06	6.375095749e+12	2.034012103e+02	1.967381367e+00	1.664516449e+00	3.963277340e-01
4.886949639e+08	2.304998064e+06	6.443955994e+12	2.048835360e+02	1.954668750e+00	1.664521217e+00	3.963313401e-01
4.880674151e+08	2.313660560e+06	6.513838196e+12	2.063891109e+02	1.942118107e+00	1.664526224e+00	3.963350058e-01
4.874368171e+08	2.322298473e+06	6.584746552e+12	2.079180977e+02	1.929804209e+00	1.664532185e+00	3.963387907e-01
4.868032999e+08	2.330911933e+06	6.656685638e+12	2.094718798e+02	1.917739782e+00	1.664538145e+00	3.963427842e-01
4.861669708e+08	2.339501380e+06	6.729659271e+12	2.110507172e+02	1.905889298e+00	1.664545298e+00	3.963467777e-01
4.855279292e+08	2.348067178e+06	6.803678894e+12	2.126532599e+02	1.894217569e+00	1.664551497e+00	3.963507116e-01
4.848862745e+08	2.356609558e+06	6.878749847e+12	2.142785736e+02	1.882719913e+00	1.664558887e+00	3.963548839e-01
4.842420946e+08	2.365128906e+06	6.954878235e+12	2.159278016e+02	1.871400736e+00	1.664565563e+00	3.963590562e-01
4.835954634e+08	2.373625812e+06	7.032077026e+12	2.176017895e+02	1.860248405e+00	1.664573193e+00	3.963632882e-01
4.829464561e+08	2.382100807e+06	7.110354614e+12	2.192997944e+02	1.849260126e+00	1.664580822e+00	3.963674307e-01
4.822951545e+08	2.390554322e+06	7.189720154e+12	2.210209595e+02	1.838447760e+00	1.664588213e+00	3.963717222e-01
4.816416375e+08	2.398986843e+06	7.270182037e+12	2.227656974e+02	1.827816249e+00	1.664596081e+00	3.963759840e-01
4.809859780e+08	2.407398938e+06	7.351750946e+12	2.245345712e+02	1.817356085e+00	1.664603233e+00	3.963802159e-01
4.803282483e+08	2.415791144e+06	7.434434509e+12	2.263272889e+02	1.807060079e+00	1.664610744e+00	3.963845372e-01
4.796685202e+08	2.424163969e+06	7.518246460e+12	2.281437159e+02	1.796930917e+00	1.664617896e+00	3.963887095e-01
4.790068610e+08	2.432517979e+06	7.603193665e+12	2.299841734e+02	1.786966657e+00	1.664625168e+00	3.963928819e-01
4.783433340e+08	2.440853774e+06	7.689286804e+12	2.318488481e+02	1.777163172e+00	1.664631844e+00	3.963969946e-01
4.776780008e+08	2.449171956e+06	7.776538849e+12	2.337373655e+02	1.767522202e+00	1.664638281e+00	3.964011967e-01
4.770109191e+08	2.457473166e+06	7.864959717e+12	2.356497519e+02	1.758046096e+00	1.664644003e+00	3.964051902e-01
4.763421425e+08	2.465758090e+06	7.954562378e+12	2.375861569e+02	1.748732868e+00	1.664650202e+00	3.964091837e-01
4.756717259e+08	2.474027382e+06	8.045358276e+12	2.395467501e+02	1.739581102e+00	1.664655685e+00	3.964131474e-01
4.749997276e+08	2.482281638e+06	8.137358093e+12	2.415316976e+02	1.730588045e+00	1.664660335e+00	3.964169323e-01
4.743262055e+08	2.490521424e+06	8.230573273e+12	2.435407762e+02	1.721746380e+00	1.664664984e+00	3.964207172e-01
4.736512179e+08	2.498747258e+06	8.325015259e+12	2.455741093e+02	1.713050234e+00	1.664669275e+00	3.964243829e-01
4.729748224e+08	2.506959545e+06	8.420693970e+12	2.476317914e+02	1.704457645e+00	1.664672971e+00	3.964280486e-01
4.722970665e+08	2.515158527e+06	8.517625427e+12	2.497139177e+02	1.695894470e+00	1.664676189e+00	3.964315951e-01
4.716179872e+08	2.523344343e+06	8.615821075e+12	2.518206140e+02	1.687343042e+00	1.664679289e+00	3.964351714e-01
4.709376167e+08	2.531517100e+06	8.715295410e+12	2.539521229e+02	1.678786948e+00	1.664682150e+00	3.964386284e-01
4.702559843e+08	2.539676848e+06	8.816066742e+12	2.561086258e+02	1.670210210e+00	1.664684653e+00	3.964421451e-01
4.695731162e+08	2.547823591e+06	8.918148804e+12	2.582903108e+02	1.661598296e+00	1.664687157e+00	3.964456618e-01
4.688890364e+08	2.555957291e+06	9.021560669e+12	2.604974149e+02	1.652939132e+00	1.664689779e+00	3.964491189e-01
4.682037658e+08	2.564077875e+06	9.126313782e+12	2.627301317e+02	1.644223645e+00	1.664691925e+00	3.964525759e-01
4.675173236e+08	2.572185255e+06	9.232432556e+12	2.649888574e+02	1.635447294e+00	1.664693832e+00	3.964559734e-01
4.668297270e+08	2.580279340e+06	9.339931488e+12	2.672737353e+02	1.626608740e+00	1.664696693e+00	3.964593709e-01
4.661409924e+08	2.588360041e+06	9.448831940e+12	2.695850789e+02	1.617711401e+00	1.664699316e+00	3.964629173e-01
4.654511355e+08	2.596427300e+06	9.559147644e+12	2.719232345e+02	1.608762844e+00	1.664701462e+00	3.964662552e-01
4.647601716e+08	2.604481094e+06	9.670904541e+12	2.742884364e+02	1.599773808e+00	1.664704323e+00	3.964697719e-01
4.640681169e+08	2.612521446e+06	9.784118652e+12	2.766810757e+02	1.590758540e+00	1.664707184e+00	3.964731991e-01
4.633749884e+08	2.620548438e+06	9.898811340e+12	2.791013733e+02	1.581732803e+00	1.664710283e+00	3.964766264e-01
4.626808042e+08	2.628562206e+06	1.001499710e+13	2.815495941e+02	1.572713575e+00	1.664713383e+00	3.964800239e-01
4.619855844e+08	2.636562950e+06	1.013270111e+13	2.840261110e+02	1.563718518e+00	1.664716721e+00	3.964834809e-01
4.612893500e+08	2.644550931e+06	1.025193939e+13	2.865311292e+02	1.554764250e+00	1.664720774e+00	3.964869380e-01
4.605921239e+08	2.652526471e+06	1.037273331e+13	2.890650175e+02	1.545866469e+00	1.664725065e+00	3.964904249e-01
4.598939304e+08	2.660489936e+06	1.049510345e+13	2.916278853e+02	1.537038341e+00	1.664729476e+00	3.964939415e-01
4.591947950e+08	2.668441741e+06	1.061906815e+13	2.942201679e+02	1.528291932e+00	1.664733648e+00	3.964973390e-01
4.584947441e+08	2.676382337e+06	1.074464417e+13	2.968420383e+02	1.519636351e+00	1.664738655e+00	3.965008855e-01
4.577938046e+08	2.684312207e+06	1.087185364e+13	2.994936768e+02	1.511078425e+00	1.664743900e+00	3.965044320e-01
